key,change-total,change-violent,change-property,rate-rank
SOUTH DELRIDGE,56.0,2.7,69.7,6
NORTHGATE,30.0,42.9,28.9,9
ROXHILL/WESTWOOD/ARBOR HEIGHTS,28.8,71.4,26.0,20
MAGNOLIA,27.2,20.5,27.5,46
MADISON PARK,24.3,22.6,24.4,48
JUDKINS PARK/NORTH BEACON HILL,22.6,6.9,25.6,8
GREENWOOD,20.9,8.2,22.3,18
MONTLAKE/PORTAGE BAY,18.8,-20.0,20.0,26
GEORGETOWN,14.1,-2.9,16.2,5
HIGHLAND PARK,13.2,-18.0,17.6,27
CHINATOWN INTERNATIONAL DISTRICT,12.5,21.6,11.4,3
MILLER PARK,11.8,-34.5,15.2,36
BALLARD NORTH,11.3,20.1,10.7,43
HIGH POINT,11.1,-1.4,13.5,42
ALASKA JUNCTION,9.9,1.3,10.7,29
SOUTH PARK,9.1,-24.3,15.1,12
PHINNEY RIDGE,8.2,-20.6,9.5,41
UNIVERSITY,8.1,-10.8,10.3,21
ROOSEVELT/RAVENNA,7.7,2.9,7.9,22
SAND POINT,7.5,60.7,5.5,54
WALLINGFORD,5.0,-6.4,5.6,24
MORGAN,4.9,-13.5,5.9,47
BALLARD SOUTH,4.1,34.0,2.2,17
BITTER LAKE,3.2,30.7,1.0,38
FAUNTLEROY SW,2.0,41.1,0.5,49
COMMERCIAL HARBOR ISLAND,0.0,0.0,-2.6,56
EASTLAKE,-0.3,-36.7,1.7,14
LAKEWOOD/SEWARD PARK,-0.5,8.9,-0.9,37
LESCHI/MADRONA,-1.3,-23.2,1.3,34
CAPITOL HILL,-4.6,32.5,-8.3,10
LAKE CITY,-5.2,33.7,-8.8,40
QUEEN ANNE,-11.0,-7.7,-11.1,25
DOWNTOWN COMMERCIAL,-11.6,10.6,-13.8,2
MOUNT BAKER,-12.7,-13.8,-12.6,15
NORTH DELRIDGE,-12.9,26.7,-16.8,35
CENTRAL AREA/SQUIRE PARK,-13.2,-21.7,-11.9,33
FREMONT,-16.3,-37.8,-14.6,23
COMMERCIAL DUWAMISH,-16.6,350.8,-29.7,57
NORTH ADMIRAL,-17.1,3.4,-18.4,50
ALKI,-17.8,37.8,-21.0,53
RAINIER VIEW,-18.9,-23.1,-18.5,39
COLUMBIA CITY,-19.4,-46.1,-13.2,31
CLAREMONT/RAINIER VISTA,-20.6,-1.6,-24.6,44
GENESEE,-22.5,-11.0,-24.2,19
BELLTOWN,-23.2,-41.4,-21.1,7
SODO,-23.6,12.7,-27.3,1
FIRST HILL,-23.7,-3.6,-26.1,16
HILLMAN CITY,-26.1,-26.2,-26.1,32
NEW HOLLY,-31.1,-2.3,-36.2,28
RAINIER BEACH,-31.9,-25.4,-33.4,13
NORTH BEACON HILL,-34.3,-7.2,-37.9,30
MID BEACON HILL,-37.0,-31.4,-37.9,52
SOUTH BEACON HILL,-37.7,-40.0,-37.3,55
PIGEON POINT,-40.0,-67.4,-36.7,51
PIONEER SQUARE,-40.6,13.1,-48.6,4
BRIGHTON/DUNLAP,-43.1,-43.5,-43.0,45
SOUTH LAKE UNION/CASCADE,-54.6,-46.6,-55.4,11
